bulk_id,facet,slab_id
zhvh759485,001,kedugeno_94
zhvh759485,101,sinakavo_72
zhvh759485,314,nagorupi_84
zhvh759485,111,pesovevo_77
b583vr8hvw,011,sodabipa_42
b583vr8hvw,110,pemupehe_18
b583vr8hvw,010,rinugabi_26
b583vr8hvw,100,bitusofu_21
b583vr8hvw,001,semodave_57
b583vr8hvw,101,kehabaka_01
b583vr8hvw,111,migidome_55
7lxicqnrzy,011,vubiroda_89
7lxicqnrzy,110,levudife_06
7lxicqnrzy,010,kupiheda_05
7lxicqnrzy,100,ludahaku_42
7lxicqnrzy,214,berafiti_14
7lxicqnrzy,001,gamehova_28
7lxicqnrzy,101,kanupama_46
7lxicqnrzy,314,vasamalo_79
7lxicqnrzy,111,rubihihu_37
bwzk8k6rb4,011,hosasufo_93
bwzk8k6rb4,110,rugevebo_73
bwzk8k6rb4,010,nowotiwe_83
bwzk8k6rb4,100,fimukubu_86
bwzk8k6rb4,001,vopuluni_22
bwzk8k6rb4,101,rapudeho_31
bwzk8k6rb4,111,firoroti_83
xlbfb49wml,011,famevumo_07
xlbfb49wml,110,teluwoga_92
xlbfb49wml,010,winodega_99
xlbfb49wml,100,sihisalu_64
xlbfb49wml,001,disinilo_54
xlbfb49wml,101,welumane_21
xlbfb49wml,314,kokeluha_08
xlbfb49wml,111,todawehu_81
71ndxsch8y,011,folahipo_88
71ndxsch8y,110,kuhupopi_72
71ndxsch8y,010,fedorusu_73
71ndxsch8y,100,fitufovo_81
71ndxsch8y,001,nadinusu_95
71ndxsch8y,101,banalepu_90
71ndxsch8y,314,nokihuda_25
71ndxsch8y,111,hafikibi_92
nd919pnr6q,011,duvihipi_56
nd919pnr6q,110,pogiretu_47
nd919pnr6q,010,sugohule_17
nd919pnr6q,100,pisewoku_94
nd919pnr6q,001,tafebuwu_56
nd919pnr6q,101,givihili_64
nd919pnr6q,111,likeniri_51
xozr8f7p7g,011,bebubeda_56
xozr8f7p7g,110,hababuta_96
xozr8f7p7g,010,sepesibo_60
xozr8f7p7g,100,nifupidu_92
xozr8f7p7g,214,basunefe_68
xozr8f7p7g,001,gihumuni_35
xozr8f7p7g,101,netowaka_28
xozr8f7p7g,111,kamimoho_73
8p8evt9pcg,011,tanewani_59
8p8evt9pcg,110,vudiguto_56
8p8evt9pcg,010,ranimepu_91
8p8evt9pcg,100,tofipuwi_28
8p8evt9pcg,001,ditodafa_52
8p8evt9pcg,101,mibavupe_47
8p8evt9pcg,314,pifikina_57
8p8evt9pcg,111,silovabu_91
85z4msnl6o,011,tilunabi_89
85z4msnl6o,110,hunilugo_35
85z4msnl6o,010,kilahemu_07
85z4msnl6o,100,hudigodo_62
85z4msnl6o,214,bifokine_06
85z4msnl6o,001,fokigemi_06
85z4msnl6o,101,mogokita_41
85z4msnl6o,314,walihehe_10
85z4msnl6o,111,nivanevi_99
mfme9lbtxq,011,rilalufo_15
mfme9lbtxq,110,tehigahu_18
mfme9lbtxq,010,wabukema_27
mfme9lbtxq,100,fugarese_79
mfme9lbtxq,001,genuwodo_08
mfme9lbtxq,101,bupomevi_27
mfme9lbtxq,111,danitugi_55
91746y6g6i,100,vegarebo_06
91746y6g6i,214,vinisino_58
91746y6g6i,001,bonofepo_25
91746y6g6i,101,lebenuna_98
91746y6g6i,314,hebuteve_50
91746y6g6i,111,matowedi_76
9pb4c1927h,011,pohavehi_65
9pb4c1927h,110,fonotuho_79
9pb4c1927h,010,pelukake_23
9pb4c1927h,100,vevoraso_36
9pb4c1927h,214,fobudiwa_46
9pb4c1927h,001,wavihanu_77
9pb4c1927h,101,hiwivodo_46
9pb4c1927h,111,kikimiva_55
cg8p7fxq65,011,nelebinu_14
cg8p7fxq65,110,gavuwuwa_31
cg8p7fxq65,010,buvivore_13
cg8p7fxq65,100,wutitapi_23
cg8p7fxq65,214,buhibibi_58
